Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
631,31.55,-3670.487,3632.684,12667.523,-123.31,121.296,-309.841,1.537,-1.558,13.461
632,31.6,-3676.649,3638.745,12683.015,-123.233,121.218,-309.169,1.531,-1.552,13.44
633,31.65,-3682.807,3644.802,12698.474,-123.157,121.141,-308.498,1.525,-1.546,13.42
634,31.7,-3688.961,3650.855,12713.899,-123.081,121.064,-307.828,1.519,-1.54,13.399
635,31.75,-3695.111,3656.905,12729.29,-123.005,120.987,-307.16,1.513,-1.534,13.379
636,31.8,-3701.258,3662.95,12744.648,-122.93,120.911,-306.492,1.507,-1.528,13.358
637,31.85,-3707.4,3668.992,12759.973,-122.855,120.835,-305.825,1.501,-1.522,13.338
638,31.9,-3713.539,3675.03,12775.264,-122.78,120.759,-305.159,1.495,-1.516,13.318
639,31.95,-3719.675,3681.064,12790.522,-122.706,120.683,-304.494,1.49,-1.51,13.298
640,32.0,-3725.806,3687.095,12805.747,-122.631,120.608,-303.83,1.484,-1.504,13.278
641,32.05,-3731.934,3693.121,12820.938,-122.557,120.533,-303.167,1.478,-1.499,13.259
642,32.1,-3738.058,3699.144,12836.097,-122.484,120.459,-302.505,1.473,-1.493,13.241
643,32.15,-3744.179,3705.163,12851.222,-122.41,120.384,-301.844,1.468,-1.488,13.223
644,32.2,-3750.296,3711.179,12866.314,-122.337,120.31,-301.184,1.463,-1.483,13.205
645,32.25,-3756.409,3717.191,12881.373,-122.264,120.236,-300.524,1.458,-1.478,13.187
646,32.3,-3762.519,3723.199,12896.399,-122.192,120.162,-299.866,1.452,-1.473,13.169
647,32.35,-3768.625,3729.203,12911.393,-122.119,120.089,-299.208,1.447,-1.467,13.15
648,32.4,-3774.727,3735.204,12926.353,-122.047,120.016,-298.552,1.441,-1.462,13.131
649,32.45,-3780.826,3741.201,12941.281,-121.976,119.943,-297.896,1.436,-1.456,13.112
650,32.5,-3786.921,3747.195,12956.176,-121.904,119.871,-297.242,1.43,-1.45,13.093
651,32.55,-3793.013,3753.185,12971.038,-121.833,119.798,-296.588,1.425,-1.445,13.074
652,32.6,-3799.101,3759.171,12985.867,-121.762,119.726,-295.935,1.419,-1.439,13.056
653,32.65,-3805.185,3765.154,13000.664,-121.691,119.655,-295.283,1.414,-1.434,13.037
654,32.7,-3811.266,3771.133,13015.428,-121.621,119.583,-294.632,1.408,-1.428,13.019
655,32.75,-3817.344,3777.109,13030.16,-121.551,119.512,-293.982,1.403,-1.423,13.001
656,32.8,-3823.418,3783.081,13044.859,-121.481,119.441,-293.333,1.398,-1.418,12.983
657,32.85,-3829.488,3789.049,13059.525,-121.411,119.371,-292.685,1.392,-1.412,12.965
658,32.9,-3835.555,3795.014,13074.16,-121.342,119.3,-292.037,1.387,-1.407,12.947
659,32.95,-3841.619,3800.976,13088.761,-121.273,119.23,-291.391,1.382,-1.402,12.929
660,33.0,-3847.679,3806.934,13103.331,-121.204,119.16,-290.745,1.377,-1.396,12.911
661,33.05,-3853.736,3812.888,13117.868,-121.135,119.091,-290.101,1.371,-1.391,12.894
662,33.1,-3859.789,3818.839,13132.373,-121.067,119.022,-289.457,1.366,-1.386,12.876
663,33.15,-3865.839,3824.787,13146.846,-120.999,118.953,-288.814,1.361,-1.381,12.859
664,33.2,-3871.886,3830.731,13161.287,-120.931,118.884,-288.172,1.356,-1.376,12.841
665,33.25,-3877.929,3836.672,13175.695,-120.864,118.815,-287.531,1.351,-1.371,12.824
666,33.3,-3883.969,3842.609,13190.072,-120.796,118.747,-286.89,1.346,-1.365,12.807
667,33.35,-3890.005,3848.543,13204.416,-120.729,118.679,-286.251,1.341,-1.36,12.79
668,33.4,-3896.039,3854.474,13218.729,-120.663,118.611,-285.612,1.336,-1.355,12.773
669,33.45,-3902.068,3860.401,13233.01,-120.596,118.544,-284.974,1.331,-1.35,12.756
670,33.5,-3908.095,3866.325,13247.258,-120.53,118.476,-284.337,1.326,-1.345,12.74
671,33.55,-3914.118,3872.245,13261.475,-120.464,118.409,-283.701,1.32,-1.34,12.722
672,33.6,-3920.138,3878.162,13275.66,-120.398,118.343,-283.066,1.315,-1.334,12.704
673,33.65,-3926.155,3884.076,13289.814,-120.333,118.276,-282.432,1.309,-1.329,12.686
674,33.7,-3932.168,3889.987,13303.935,-120.267,118.21,-281.798,1.304,-1.323,12.669
675,33.75,-3938.178,3895.894,13318.025,-120.202,118.144,-281.166,1.298,-1.318,12.652
676,33.8,-3944.185,3901.798,13332.083,-120.138,118.079,-280.534,1.294,-1.313,12.635
677,33.85,-3950.189,3907.698,13346.11,-120.073,118.013,-279.903,1.289,-1.308,12.619
678,33.9,-3956.189,3913.596,13360.105,-120.009,117.948,-279.273,1.284,-1.304,12.603
679,33.95,-3962.186,3919.49,13374.069,-119.945,117.883,-278.644,1.279,-1.299,12.588
680,34.0,-3968.18,3925.381,13388.001,-119.881,117.818,-278.015,1.275,-1.294,12.572
681,34.05,-3974.171,3931.269,13401.902,-119.818,117.754,-277.387,1.27,-1.289,12.556
682,34.1,-3980.159,3937.153,13415.771,-119.755,117.69,-276.76,1.265,-1.284,12.54
683,34.15,-3986.144,3943.034,13429.609,-119.692,117.626,-276.134,1.261,-1.28,12.525
684,34.2,-3992.125,3948.912,13443.416,-119.629,117.562,-275.508,1.256,-1.275,12.509
685,34.25,-3998.103,3954.787,13457.191,-119.566,117.498,-274.884,1.251,-1.271,12.494
686,34.3,-4004.079,3960.659,13470.936,-119.504,117.435,-274.26,1.246,-1.266,12.478
687,34.35,-4010.051,3966.528,13484.649,-119.442,117.372,-273.637,1.241,-1.26,12.462
688,34.4,-4016.02,3972.393,13498.33,-119.38,117.309,-273.014,1.236,-1.255,12.446
689,34.45,-4021.986,3978.256,13511.981,-119.318,117.247,-272.393,1.231,-1.25,12.43
690,34.5,-4027.948,3984.115,13525.601,-119.257,117.184,-271.772,1.226,-1.246,12.414
691,34.55,-4033.908,3989.971,13539.189,-119.196,117.122,-271.152,1.222,-1.241,12.399
692,34.6,-4039.865,3995.824,13552.747,-119.135,117.061,-270.533,1.217,-1.236,12.384
693,34.65,-4045.819,4001.674,13566.274,-119.075,116.999,-269.915,1.213,-1.232,12.369
694,34.7,-4051.769,4007.521,13579.769,-119.014,116.938,-269.297,1.209,-1.228,12.355
695,34.75,-4057.717,4013.365,13593.234,-118.954,116.876,-268.68,1.204,-1.223,12.34
696,34.8,-4063.662,4019.205,13606.668,-118.894,116.816,-268.064,1.2,-1.219,12.326
697,34.85,-4069.603,4025.043,13620.071,-118.834,116.755,-267.448,1.196,-1.214,12.311
698,34.9,-4075.542,4030.878,13633.444,-118.775,116.694,-266.833,1.191,-1.21,12.297
699,34.95,-4081.478,4036.71,13646.785,-118.715,116.634,-266.219,1.187,-1.206,12.283
700,35.0,-4087.411,4042.538,13660.096,-118.656,116.574,-265.606,1.183,-1.201,12.269
701,35.05,-4093.341,4048.364,13673.377,-118.597,116.514,-264.993,1.179,-1.197,12.255
702,35.1,-4099.268,4054.187,13686.626,-118.538,116.454,-264.381,1.174,-1.193,12.241
703,35.15,-4105.192,4060.006,13699.845,-118.48,116.395,-263.77,1.17,-1.189,12.227
704,35.2,-4111.113,4065.823,13713.034,-118.422,116.336,-263.159,1.166,-1.184,12.213
705,35.25,-4117.031,4071.637,13726.192,-118.364,116.277,-262.549,1.162,-1.18,12.199
706,35.3,-4122.946,4077.448,13739.319,-118.306,116.218,-261.94,1.158,-1.176,12.186
707,35.35,-4128.858,4083.256,13752.416,-118.248,116.159,-261.331,1.154,-1.172,12.172
708,35.4,-4134.768,4089.061,13765.483,-118.191,116.101,-260.723,1.149,-1.168,12.159
709,35.45,-4140.675,4094.863,13778.519,-118.133,116.043,-260.116,1.145,-1.164,12.145
710,35.5,-4146.578,4100.662,13791.525,-118.076,115.985,-259.509,1.141,-1.16,12.132
711,35.55,-4152.479,4106.459,13804.5,-118.019,115.927,-258.903,1.137,-1.155,12.119
712,35.6,-4158.378,4112.252,13817.445,-117.963,115.87,-258.298,1.13,-1.148,12.098
713,35.65,-4164.273,4118.043,13830.36,-117.907,115.813,-257.695,1.121,-1.139,12.074
714,35.7,-4170.165,4123.831,13843.245,-117.851,115.756,-257.092,1.112,-1.13,12.05
715,35.75,-4176.055,4129.616,13856.1,-117.796,115.7,-256.491,1.103,-1.121,12.027
716,35.8,-4181.942,4135.398,13868.924,-117.741,115.645,-255.891,1.094,-1.112,12.003
717,35.85,-4187.827,4141.177,13881.719,-117.687,115.589,-255.292,1.085,-1.104,11.98
718,35.9,-4193.708,4146.954,13894.483,-117.633,115.535,-254.694,1.077,-1.095,11.958
719,35.95,-4199.587,4152.728,13907.218,-117.58,115.48,-254.097,1.069,-1.087,11.937
720,36.0,-4205.464,4158.499,13919.923,-117.527,115.426,-253.501,1.06,-1.079,11.915
721,36.05,-4211.337,4164.268,13932.598,-117.474,115.373,-252.906,1.052,-1.071,11.894
722,36.1,-4217.209,4170.034,13945.243,-117.422,115.32,-252.313,1.044,-1.063,11.873
723,36.15,-4223.077,4175.797,13957.859,-117.37,115.267,-251.72,1.036,-1.055,11.852
724,36.2,-4228.943,4181.558,13970.445,-117.319,115.214,-251.129,1.028,-1.047,11.831
725,36.25,-4234.806,4187.316,13983.001,-117.268,115.162,-250.538,1.021,-1.039,11.81
726,36.3,-4240.667,4193.072,13995.528,-117.217,115.111,-249.949,1.013,-1.032,11.79
727,36.35,-4246.526,4198.825,14008.026,-117.167,115.06,-249.36,1.005,-1.024,11.77
728,36.4,-4252.381,4204.575,14020.494,-117.117,115.009,-248.773,0.997,-1.016,11.75
729,36.45,-4258.235,4210.323,14032.932,-117.068,114.958,-248.186,0.99,-1.009,11.73
730,36.5,-4264.086,4216.068,14045.342,-117.018,114.908,-247.601,0.982,-1.001,11.711
731,36.55,-4269.934,4221.811,14057.722,-116.97,114.859,-247.016,0.975,-0.994,11.691
732,36.6,-4275.78,4227.552,14070.072,-116.921,114.809,-246.433,0.967,-0.987,11.672
733,36.65,-4281.624,4233.29,14082.394,-116.873,114.76,-245.85,0.96,-0.979,11.653
734,36.7,-4287.465,4239.025,14094.687,-116.826,114.712,-245.268,0.953,-0.972,11.634
735,36.75,-4293.304,4244.759,14106.95,-116.778,114.664,-244.687,0.945,-0.964,11.614
736,36.8,-4299.141,4250.489,14119.184,-116.731,114.616,-244.108,0.938,-0.957,11.595
737,36.85,-4304.975,4256.218,14131.39,-116.685,114.568,-243.529,0.93,-0.949,11.576
738,36.9,-4310.807,4261.944,14143.566,-116.639,114.521,-242.951,0.923,-0.942,11.558
739,36.95,-4316.637,4267.668,14155.714,-116.593,114.474,-242.374,0.916,-0.935,11.539
740,37.0,-4322.464,4273.389,14167.832,-116.548,114.428,-241.798,0.909,-0.928,11.521
741,37.05,-4328.289,4279.108,14179.922,-116.503,114.382,-241.223,0.902,-0.921,11.504
742,37.1,-4334.112,4284.825,14191.983,-116.458,114.336,-240.648,0.895,-0.914,11.486
743,37.15,-4339.933,4290.539,14204.016,-116.413,114.291,-240.075,0.888,-0.908,11.469
744,37.2,-4345.751,4296.252,14216.02,-116.369,114.246,-239.502,0.881,-0.901,11.452
745,37.25,-4351.567,4301.962,14227.995,-116.326,114.201,-238.931,0.875,-0.894,11.435
746,37.3,-4357.381,4307.67,14239.941,-116.282,114.157,-238.36,0.868,-0.888,11.419
747,37.35,-4363.193,4313.375,14251.859,-116.239,114.113,-237.79,0.862,-0.881,11.402
748,37.4,-4369.003,4319.079,14263.749,-116.196,114.069,-237.22,0.855,-0.875,11.385
749,37.45,-4374.811,4324.78,14275.61,-116.154,114.025,-236.652,0.849,-0.868,11.369
750,37.5,-4380.617,4330.479,14287.442,-116.112,113.982,-236.084,0.843,-0.862,11.353
751,37.55,-4386.42,4336.176,14299.247,-116.07,113.94,-235.517,0.836,-0.856,11.337
752,37.6,-4392.221,4341.871,14311.022,-116.028,113.897,-234.951,0.83,-0.85,11.321
753,37.65,-4398.021,4347.564,14322.77,-115.987,113.855,-234.386,0.824,-0.843,11.306
754,37.7,-4403.818,4353.254,14334.489,-115.946,113.813,-233.822,0.818,-0.837,11.29
755,37.75,-4409.613,4358.943,14346.18,-115.906,113.772,-233.258,0.812,-0.831,11.275
756,37.8,-4415.407,4364.629,14357.843,-115.866,113.73,-232.695,0.806,-0.825,11.259
757,37.85,-4421.198,4370.314,14369.478,-115.826,113.689,-232.133,0.8,-0.819,11.244
758,37.9,-4426.987,4375.996,14381.085,-115.786,113.649,-231.571,0.794,-0.813,11.229
759,37.95,-4432.775,4381.677,14392.663,-115.746,113.608,-231.01,0.788,-0.807,11.214
760,38.0,-4438.56,4387.355,14404.214,-115.707,113.568,-230.45,0.782,-0.801,11.2
761,38.05,-4444.343,4393.032,14415.736,-115.669,113.528,-229.891,0.776,-0.796,11.185
762,38.1,-4450.125,4398.706,14427.231,-115.63,113.489,-229.333,0.77,-0.79,11.171
763,38.15,-4455.904,4404.379,14438.697,-115.592,113.45,-228.775,0.764,-0.784,11.156
764,38.2,-4461.682,4410.049,14450.136,-115.554,113.411,-228.218,0.758,-0.778,11.142
765,38.25,-4467.458,4415.718,14461.547,-115.516,113.372,-227.661,0.753,-0.772,11.127
766,38.3,-4473.232,4421.384,14472.93,-115.479,113.334,-227.106,0.747,-0.766,11.113
767,38.35,-4479.004,4427.049,14484.285,-115.442,113.296,-226.551,0.741,-0.761,11.098
768,38.4,-4484.774,4432.712,14495.613,-115.405,113.258,-225.997,0.735,-0.755,11.084
769,38.45,-4490.543,4438.373,14506.913,-115.369,113.221,-225.443,0.729,-0.749,11.07
770,38.5,-4496.309,4444.032,14518.185,-115.333,113.183,-224.89,0.724,-0.744,11.057
771,38.55,-4502.074,4449.69,14529.429,-115.297,113.146,-224.338,0.719,-0.738,11.044
772,38.6,-4507.837,4455.345,14540.646,-115.261,113.11,-223.786,0.713,-0.733,11.031
773,38.65,-4513.599,4460.999,14551.836,-115.226,113.073,-223.236,0.708,-0.728,11.018
774,38.7,-4519.358,4466.651,14562.997,-115.19,113.037,-222.685,0.703,-0.723,11.005
775,38.75,-4525.116,4472.301,14574.132,-115.156,113.001,-222.136,0.697,-0.717,10.992
776,38.8,-4530.872,4477.949,14585.238,-115.121,112.966,-221.587,0.692,-0.712,10.98
777,38.85,-4536.626,4483.596,14596.318,-115.087,112.93,-221.038,0.687,-0.707,10.967
778,38.9,-4542.379,4489.24,14607.37,-115.052,112.895,-220.491,0.682,-0.702,10.955
779,38.95,-4548.13,4494.883,14618.394,-115.019,112.861,-219.944,0.677,-0.697,10.942
780,39.0,-4553.879,4500.525,14629.391,-114.985,112.826,-219.397,0.672,-0.692,10.93
781,39.05,-4559.627,4506.164,14640.361,-114.952,112.792,-218.851,0.667,-0.687,10.918
782,39.1,-4565.372,4511.802,14651.304,-114.919,112.758,-218.306,0.662,-0.682,10.906
783,39.15,-4571.117,4517.438,14662.219,-114.886,112.724,-217.761,0.657,-0.677,10.894
784,39.2,-4576.859,4523.073,14673.107,-114.853,112.69,-217.217,0.652,-0.672,10.881
785,39.25,-4582.6,4528.706,14683.968,-114.821,112.657,-216.674,0.647,-0.666,10.869
786,39.3,-4588.34,4534.337,14694.802,-114.789,112.624,-216.131,0.641,-0.661,10.857
787,39.35,-4594.078,4539.966,14705.608,-114.757,112.591,-215.588,0.636,-0.656,10.846
788,39.4,-4599.814,4545.594,14716.388,-114.725,112.558,-215.047,0.632,-0.652,10.834
789,39.45,-4605.549,4551.221,14727.14,-114.694,112.526,-214.506,0.627,-0.647,10.824
790,39.5,-4611.282,4556.845,14737.865,-114.663,112.494,-213.965,0.623,-0.643,10.814
791,39.55,-4617.013,4562.468,14748.564,-114.632,112.462,-213.425,0.619,-0.639,10.804
792,39.6,-4622.743,4568.09,14759.235,-114.601,112.43,-212.885,0.615,-0.635,10.794
793,39.65,-4628.472,4573.71,14769.879,-114.571,112.399,-212.346,0.611,-0.631,10.784
794,39.7,-4634.199,4579.328,14780.496,-114.54,112.367,-211.807,0.607,-0.627,10.774
795,39.75,-4639.925,4584.945,14791.087,-114.51,112.336,-211.269,0.604,-0.624,10.765
796,39.8,-4645.649,4590.56,14801.65,-114.48,112.305,-210.731,0.601,-0.621,10.758
797,39.85,-4651.371,4596.174,14812.187,-114.45,112.274,-210.194,0.598,-0.618,10.75
798,39.9,-4657.092,4601.786,14822.696,-114.42,112.243,-209.656,0.595,-0.615,10.743
799,39.95,-4662.812,4607.397,14833.179,-114.391,112.213,-209.12,0.593,-0.612,10.735
800,40.0,-4668.53,4613.006,14843.635,-114.361,112.182,-208.583,0.59,-0.61,10.728
801,40.05,-4674.246,4618.613,14854.064,-114.332,112.152,-208.047,0.587,-0.607,10.721
802,40.1,-4679.961,4624.219,14864.467,-114.303,112.122,-207.511,0.585,-0.605,10.715
803,40.15,-4685.675,4629.824,14874.842,-114.273,112.092,-206.976,0.583,-0.603,10.709
804,40.2,-4691.387,4635.427,14885.191,-114.244,112.062,-206.441,0.581,-0.601,10.703
805,40.25,-4697.098,4641.029,14895.513,-114.215,112.032,-205.906,0.579,-0.599,10.697
806,40.3,-4702.807,4646.629,14905.808,-114.186,112.002,-205.371,0.577,-0.596,10.691
807,40.35,-4708.515,4652.227,14916.077,-114.158,111.972,-204.837,0.575,-0.594,10.685
808,40.4,-4714.222,4657.824,14926.319,-114.129,111.942,-204.303,0.573,-0.592,10.679
809,40.45,-4719.927,4663.42,14936.534,-114.101,111.913,-203.77,0.571,-0.59,10.673
810,40.5,-4725.63,4669.014,14946.722,-114.072,111.883,-203.236,0.569,-0.588,10.667
811,40.55,-4731.332,4674.607,14956.884,-114.044,111.854,-202.703,0.567,-0.586,10.661
812,40.6,-4737.033,4680.198,14967.019,-114.015,111.825,-202.17,0.565,-0.584,10.656
813,40.65,-4742.733,4685.788,14977.128,-113.987,111.796,-201.638,0.563,-0.582,10.65
814,40.7,-4748.431,4691.376,14987.21,-113.959,111.767,-201.106,0.561,-0.58,10.644
815,40.75,-4754.127,4696.963,14997.265,-113.931,111.738,-200.574,0.56,-0.578,10.638
816,40.8,-4759.822,4702.549,15007.294,-113.903,111.709,-200.042,0.558,-0.577,10.633
817,40.85,-4765.516,4708.133,15017.296,-113.876,111.68,-199.511,0.556,-0.575,10.627
818,40.9,-4771.208,4713.715,15027.271,-113.848,111.652,-198.98,0.554,-0.573,10.622
819,40.95,-4776.899,4719.297,15037.22,-113.82,111.623,-198.449,0.552,-0.571,10.616
820,41.0,-4782.589,4724.876,15047.143,-113.793,111.595,-197.918,0.55,-0.569,10.611
821,41.05,-4788.277,4730.455,15057.039,-113.765,111.566,-197.388,0.548,-0.567,10.605
822,41.1,-4793.964,4736.031,15066.908,-113.738,111.538,-196.858,0.546,-0.565,10.6
823,41.15,-4799.65,4741.607,15076.751,-113.711,111.51,-196.328,0.545,-0.563,10.594
824,41.2,-4805.334,4747.181,15086.568,-113.684,111.482,-195.799,0.543,-0.561,10.589
825,41.25,-4811.017,4752.754,15096.358,-113.657,111.454,-195.27,0.541,-0.559,10.583
826,41.3,-4816.698,4758.325,15106.121,-113.63,111.426,-194.741,0.539,-0.557,10.578
827,41.35,-4822.378,4763.895,15115.858,-113.603,111.398,-194.212,0.537,-0.556,10.573
828,41.4,-4828.057,4769.463,15125.569,-113.576,111.371,-193.684,0.535,-0.554,10.567
829,41.45,-4833.735,4775.031,15135.253,-113.549,111.343,-193.156,0.534,-0.552,10.562
830,41.5,-4839.411,4780.596,15144.911,-113.523,111.316,-192.628,0.532,-0.55,10.557
831,41.55,-4845.086,4786.161,15154.542,-113.496,111.288,-192.1,0.53,-0.548,10.552
832,41.6,-4850.759,4791.724,15164.147,-113.47,111.261,-191.573,0.528,-0.546,10.547
833,41.65,-4856.431,4797.286,15173.726,-113.444,111.234,-191.046,0.526,-0.545,10.542
834,41.7,-4862.102,4802.846,15183.278,-113.417,111.206,-190.519,0.525,-0.543,10.536
835,41.75,-4867.772,4808.405,15192.804,-113.391,111.179,-189.993,0.523,-0.541,10.531
836,41.8,-4873.44,4813.962,15202.304,-113.365,111.152,-189.466,0.522,-0.539,10.527
837,41.85,-4879.107,4819.519,15211.777,-113.339,111.125,-188.94,0.52,-0.538,10.522
838,41.9,-4884.773,4825.074,15221.224,-113.313,111.099,-188.414,0.518,-0.536,10.517
839,41.95,-4890.437,4830.627,15230.645,-113.287,111.072,-187.889,0.517,-0.535,10.513
840,42.0,-4896.1,4836.18,15240.039,-113.262,111.045,-187.363,0.515,-0.533,10.508
841,42.05,-4901.762,4841.73,15249.407,-113.236,111.019,-186.838,0.514,-0.531,10.503
842,42.1,-4907.422,4847.28,15258.749,-113.21,110.992,-186.313,0.512,-0.53,10.499
843,42.15,-4913.082,4852.828,15268.065,-113.185,110.966,-185.788,0.511,-0.528,10.494
844,42.2,-4918.74,4858.375,15277.354,-113.159,110.94,-185.264,0.509,-0.526,10.489
845,42.25,-4924.396,4863.921,15286.617,-113.134,110.913,-184.74,0.507,-0.525,10.484
846,42.3,-4930.052,4869.465,15295.854,-113.109,110.887,-184.216,0.506,-0.523,10.479
847,42.35,-4935.706,4875.008,15305.065,-113.083,110.861,-183.692,0.504,-0.521,10.475
848,42.4,-4941.359,4880.55,15314.25,-113.058,110.835,-183.169,0.502,-0.52,10.47
849,42.45,-4947.01,4886.091,15323.408,-113.033,110.809,-182.645,0.501,-0.518,10.465
850,42.5,-4952.661,4891.63,15332.541,-113.008,110.783,-182.122,0.499,-0.516,10.46
851,42.55,-4958.31,4897.168,15341.647,-112.983,110.758,-181.6,0.497,-0.514,10.456
852,42.6,-4963.958,4902.704,15350.727,-112.959,110.732,-181.077,0.496,-0.513,10.451
853,42.65,-4969.605,4908.24,15359.78,-112.934,110.706,-180.555,0.494,-0.511,10.447
854,42.7,-4975.25,4913.774,15368.808,-112.909,110.681,-180.033,0.492,-0.509,10.442
855,42.75,-4980.894,4919.306,15377.81,-112.885,110.656,-179.511,0.491,-0.508,10.437
856,42.8,-4986.537,4924.838,15386.785,-112.86,110.63,-178.989,0.489,-0.506,10.433
857,42.85,-4992.179,4930.368,15395.735,-112.836,110.605,-178.468,0.488,-0.505,10.428
858,42.9,-4997.82,4935.897,15404.658,-112.812,110.58,-177.946,0.486,-0.503,10.424
859,42.95,-5003.459,4941.425,15413.556,-112.787,110.555,-177.426,0.485,-0.501,10.419
860,43.0,-5009.097,4946.951,15422.427,-112.763,110.53,-176.905,0.483,-0.5,10.415
861,43.05,-5014.734,4952.477,15431.272,-112.739,110.505,-176.384,0.481,-0.498,10.41
862,43.1,-5020.37,4958.001,15440.091,-112.715,110.48,-175.864,0.48,-0.497,10.406
863,43.15,-5026.005,4963.523,15448.884,-112.691,110.455,-175.344,0.478,-0.495,10.402
864,43.2,-5031.638,4969.045,15457.652,-112.667,110.431,-174.824,0.477,-0.493,10.397
865,43.25,-5037.27,4974.565,15466.393,-112.644,110.406,-174.304,0.475,-0.492,10.393
866,43.3,-5042.901,4980.084,15475.108,-112.62,110.382,-173.785,0.474,-0.49,10.389
867,43.35,-5048.531,4985.602,15483.797,-112.596,110.357,-173.266,0.472,-0.489,10.384
868,43.4,-5054.16,4991.119,15492.461,-112.573,110.333,-172.747,0.471,-0.487,10.38
869,43.45,-5059.787,4996.634,15501.098,-112.549,110.309,-172.228,0.469,-0.486,10.376
870,43.5,-5065.413,5002.149,15509.709,-112.526,110.284,-171.709,0.468,-0.484,10.372
871,43.55,-5071.038,5007.662,15518.295,-112.503,110.26,-171.191,0.466,-0.483,10.367
872,43.6,-5076.662,5013.173,15526.854,-112.479,110.236,-170.673,0.465,-0.481,10.363
873,43.65,-5082.285,5018.684,15535.388,-112.456,110.212,-170.155,0.463,-0.48,10.359
874,43.7,-5087.907,5024.193,15543.896,-112.433,110.188,-169.637,0.462,-0.478,10.355
875,43.75,-5093.527,5029.702,15552.378,-112.41,110.164,-169.12,0.461,-0.477,10.351
876,43.8,-5099.147,5035.209,15560.834,-112.387,110.141,-168.602,0.459,-0.475,10.347
877,43.85,-5104.765,5040.714,15569.264,-112.364,110.117,-168.085,0.458,-0.474,10.343
878,43.9,-5110.382,5046.219,15577.668,-112.341,110.093,-167.568,0.456,-0.472,10.339
879,43.95,-5115.998,5051.723,15586.046,-112.319,110.07,-167.051,0.455,-0.471,10.335
880,44.0,-5121.613,5057.225,15594.399,-112.296,110.046,-166.535,0.453,-0.469,10.331
881,44.05,-5127.226,5062.726,15602.726,-112.273,110.023,-166.019,0.452,-0.468,10.327
882,44.1,-5132.839,5068.226,15611.027,-112.251,110.0,-165.502,0.451,-0.466,10.323
883,44.15,-5138.45,5073.725,15619.302,-112.228,109.977,-164.986,0.449,-0.465,10.319
884,44.2,-5144.061,5079.223,15627.551,-112.206,109.953,-164.471,0.448,-0.463,10.315
885,44.25,-5149.67,5084.719,15635.775,-112.184,109.93,-163.955,0.446,-0.462,10.311
886,44.3,-5155.278,5090.214,15643.972,-112.161,109.907,-163.44,0.445,-0.46,10.307
887,44.35,-5160.885,5095.709,15652.144,-112.139,109.884,-162.925,0.444,-0.459,10.303
888,44.4,-5166.491,5101.202,15660.291,-112.117,109.861,-162.41,0.442,-0.458,10.299
889,44.45,-5172.096,5106.694,15668.411,-112.095,109.839,-161.895,0.441,-0.456,10.296
890,44.5,-5177.699,5112.184,15676.506,-112.073,109.816,-161.38,0.44,-0.455,10.292
891,44.55,-5183.302,5117.674,15684.575,-112.051,109.793,-160.866,0.438,-0.453,10.288
892,44.6,-5188.903,5123.163,15692.618,-112.029,109.771,-160.352,0.437,-0.452,10.284
893,44.65,-5194.504,5128.65,15700.636,-112.008,109.748,-159.838,0.436,-0.451,10.28
894,44.7,-5200.103,5134.136,15708.628,-111.986,109.726,-159.324,0.434,-0.449,10.277
895,44.75,-5205.701,5139.622,15716.594,-111.964,109.703,-158.81,0.433,-0.448,10.273
896,44.8,-5211.298,5145.106,15724.534,-111.943,109.681,-158.297,0.432,-0.447,10.269
897,44.85,-5216.894,5150.588,15732.449,-111.921,109.659,-157.783,0.43,-0.445,10.266
898,44.9,-5222.489,5156.07,15740.338,-111.9,109.636,-157.27,0.429,-0.444,10.262
899,44.95,-5228.083,5161.551,15748.202,-111.878,109.614,-156.757,0.428,-0.442,10.259
900,45.0,-5233.676,5167.031,15756.04,-111.857,109.592,-156.245,0.426,-0.441,10.255
901,45.05,-5239.268,5172.509,15763.852,-111.836,109.57,-155.732,0.425,-0.44,10.251
902,45.1,-5244.859,5177.987,15771.638,-111.814,109.548,-155.22,0.424,-0.438,10.248
903,45.15,-5250.448,5183.463,15779.399,-111.793,109.526,-154.708,0.423,-0.437,10.244
904,45.2,-5256.037,5188.938,15787.135,-111.772,109.505,-154.195,0.421,-0.436,10.241
905,45.25,-5261.624,5194.412,15794.845,-111.751,109.483,-153.684,0.42,-0.434,10.237
906,45.3,-5267.211,5199.885,15802.529,-111.73,109.461,-153.172,0.419,-0.433,10.234
907,45.35,-5272.796,5205.357,15810.187,-111.709,109.44,-152.66,0.418,-0.432,10.23
908,45.4,-5278.381,5210.828,15817.82,-111.689,109.418,-152.149,0.416,-0.431,10.227
909,45.45,-5283.964,5216.298,15825.428,-111.668,109.397,-151.638,0.415,-0.429,10.223
910,45.5,-5289.547,5221.767,15833.01,-111.647,109.375,-151.127,0.414,-0.428,10.22
911,45.55,-5295.128,5227.235,15840.566,-111.627,109.354,-150.616,0.413,-0.427,10.217
912,45.6,-5300.708,5232.701,15848.097,-111.606,109.333,-150.105,0.411,-0.425,10.213
913,45.65,-5306.287,5238.167,15855.602,-111.585,109.312,-149.595,0.41,-0.424,10.21
