Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
65,3.25,-48.362,48.306,284.546,-33.085,33.023,-171.238,-11.978,11.929,-48.143
66,3.3,-50.046,49.986,293.108,-33.668,33.603,-173.648,-11.657,11.609,-48.184
67,3.35,-51.757,51.694,301.79,-34.235,34.168,-176.059,-11.347,11.299,-48.218
68,3.4,-53.497,53.43,310.593,-34.788,34.719,-178.471,-11.058,11.01,-48.244
69,3.45,-55.263,55.193,319.517,-35.328,35.256,-180.883,-10.8,10.753,-48.254
70,3.5,-57.056,56.982,328.561,-35.857,35.783,-183.296,-10.583,10.536,-48.251
71,3.55,-58.875,58.797,337.726,-36.378,36.302,-185.707,-10.414,10.367,-48.228
72,3.6,-60.719,60.638,347.011,-36.893,36.814,-188.117,-10.3,10.253,-48.185
73,3.65,-62.59,62.504,356.417,-37.405,37.324,-190.523,-10.245,10.199,-48.118
74,3.7,-64.486,64.396,365.943,-37.918,37.835,-192.924,-10.255,10.208,-48.031
75,3.75,-66.407,66.314,375.589,-38.434,38.349,-195.32,-10.328,10.281,-47.918
76,3.8,-68.355,68.257,385.355,-38.957,38.869,-197.709,-10.465,10.417,-47.781
77,3.85,-70.33,70.227,395.241,-39.49,39.4,-200.09,-10.661,10.613,-47.619
78,3.9,-72.331,72.224,405.245,-40.036,39.943,-202.462,-10.911,10.861,-47.434
79,3.95,-74.361,74.249,415.368,-40.596,40.501,-204.823,-11.206,11.156,-47.23
80,4.0,-76.42,76.303,425.609,-41.173,41.075,-207.174,-11.537,11.485,-47.013
81,4.05,-78.508,78.386,435.968,-41.767,41.667,-209.513,-11.888,11.834,-46.78
82,4.1,-80.627,80.5,446.444,-42.38,42.276,-211.84,-12.245,12.189,-46.542
83,4.15,-82.778,82.645,457.036,-43.009,42.903,-214.155,-12.592,12.534,-46.305
84,4.2,-84.96,84.823,467.743,-43.655,43.546,-216.459,-12.913,12.854,-46.078
85,4.25,-87.176,87.033,478.566,-44.315,44.202,-218.752,-13.194,13.133,-45.865
86,4.3,-89.425,89.276,489.504,-44.986,44.87,-221.036,-13.423,13.361,-45.679
87,4.35,-91.709,91.554,500.556,-45.665,45.547,-223.312,-13.588,13.524,-45.52
88,4.4,-94.026,93.865,511.721,-46.349,46.227,-225.582,-13.682,13.616,-45.392
89,4.45,-96.378,96.21,523.0,-47.034,46.909,-227.847,-13.699,13.632,-45.3
90,4.5,-98.764,98.59,534.393,-47.716,47.588,-230.109,-13.64,13.571,-45.244
91,4.55,-101.183,101.003,545.898,-48.391,48.259,-232.37,-13.505,13.435,-45.221
92,4.6,-103.636,103.449,557.517,-49.057,48.921,-234.632,-13.302,13.232,-45.231
93,4.65,-106.122,105.927,569.248,-49.709,49.57,-236.895,-13.042,12.971,-45.266
94,4.7,-108.639,108.437,581.093,-50.346,50.203,-239.161,-12.738,12.668,-45.325
95,4.75,-111.187,110.978,593.051,-50.966,50.82,-241.431,-12.409,12.338,-45.397
96,4.8,-113.766,113.549,605.123,-51.57,51.42,-243.704,-12.072,12.001,-45.464
97,4.85,-116.373,116.15,617.308,-52.157,52.004,-245.98,-11.749,11.679,-45.523
98,4.9,-119.01,118.778,629.607,-52.73,52.573,-248.259,-11.461,11.391,-45.566
99,4.95,-121.675,121.435,642.02,-53.291,53.131,-250.538,-11.226,11.156,-45.586
100,5.0,-124.367,124.119,654.547,-53.844,53.681,-252.817,-11.059,10.99,-45.578
101,5.05,-127.086,126.83,667.188,-54.393,54.226,-255.094,-10.97,10.901,-45.536
102,5.1,-129.833,129.569,679.942,-54.941,54.77,-257.367,-10.965,10.895,-45.459
103,5.15,-132.608,132.335,692.811,-55.493,55.319,-259.634,-11.044,10.974,-45.344
104,5.2,-135.411,135.128,705.792,-56.053,55.876,-261.894,-11.204,11.133,-45.197
105,5.25,-138.242,137.951,718.887,-56.625,56.444,-264.145,-11.432,11.36,-45.018
106,5.3,-141.103,140.802,732.094,-57.211,57.026,-266.385,-11.714,11.641,-44.815
107,5.35,-143.993,143.683,745.413,-57.812,57.624,-268.615,-12.031,11.956,-44.595
108,5.4,-146.915,146.595,758.844,-58.43,58.238,-270.833,-12.359,12.283,-44.368
109,5.45,-149.868,149.538,772.386,-59.064,58.868,-273.041,-12.675,12.597,-44.149
110,5.5,-152.853,152.514,786.038,-59.712,59.512,-275.238,-12.956,12.877,-43.949
111,5.55,-155.872,155.522,799.8,-60.371,60.167,-277.427,-13.179,13.099,-43.765
112,5.6,-158.924,158.564,813.671,-61.037,60.829,-279.607,-13.33,13.248,-43.615
113,5.65,-162.009,161.638,827.652,-61.707,61.495,-281.783,-13.398,13.315,-43.503
114,5.7,-165.128,164.746,841.741,-62.376,62.159,-283.954,-13.379,13.295,-43.433
115,5.75,-168.28,167.887,855.938,-63.04,62.819,-286.124,-13.275,13.19,-43.404
116,5.8,-171.465,171.061,870.245,-63.694,63.469,-288.295,-13.095,13.009,-43.41
117,5.85,-174.682,174.266,884.659,-64.337,64.108,-290.467,-12.854,12.767,-43.445
118,5.9,-177.93,177.503,899.183,-64.965,64.732,-292.641,-12.565,12.478,-43.466
119,5.95,-181.209,180.77,913.815,-65.578,65.34,-294.813,-12.253,12.166,-43.456
120,6.0,-184.517,184.066,928.555,-66.175,65.933,-296.984,-11.946,11.859,-43.409
121,6.05,-187.855,187.392,943.405,-66.759,66.512,-299.149,-11.67,11.583,-43.314
122,6.1,-191.222,190.746,958.362,-67.331,67.08,-301.309,-11.452,11.366,-43.197
123,6.15,-194.617,194.128,973.428,-67.897,67.641,-303.462,-11.308,11.222,-43.047
124,6.2,-198.04,197.538,988.601,-68.459,68.199,-305.605,-11.246,11.159,-42.858
125,6.25,-201.491,200.976,1003.881,-69.022,68.758,-307.735,-11.266,11.178,-42.618
126,6.3,-204.97,204.442,1019.268,-69.591,69.322,-309.853,-11.362,11.274,-42.346
127,6.35,-208.479,207.937,1034.76,-70.167,69.894,-311.955,-11.522,11.434,-42.046
128,6.4,-212.016,211.461,1050.358,-70.753,70.476,-314.041,-11.726,11.637,-41.723
129,6.45,-215.584,215.014,1066.06,-71.351,71.069,-316.111,-11.952,11.862,-41.387
130,6.5,-219.182,218.598,1081.866,-71.959,71.673,-318.163,-12.172,12.081,-41.048
131,6.55,-222.811,222.212,1097.774,-72.577,72.286,-320.199,-12.363,12.272,-40.72
132,6.6,-226.471,225.857,1113.784,-73.202,72.907,-322.219,-12.502,12.41,-40.404
133,6.65,-230.162,229.534,1129.895,-73.831,73.531,-324.225,-12.574,12.481,-40.115
134,6.7,-233.885,233.242,1146.106,-74.46,74.155,-326.218,-12.573,12.479,-39.868
135,6.75,-237.64,236.98,1162.417,-75.085,74.775,-328.201,-12.495,12.4,-39.657
136,6.8,-241.425,240.75,1178.827,-75.702,75.387,-330.175,-12.347,12.252,-39.478
137,6.85,-245.24,244.549,1195.336,-76.309,75.99,-332.141,-12.141,12.045,-39.324
138,6.9,-249.085,248.378,1211.943,-76.904,76.579,-334.1,-11.893,11.797,-39.179
139,6.95,-252.96,252.236,1228.648,-77.485,77.156,-336.053,-11.632,11.535,-39.054
140,7.0,-256.862,256.122,1245.45,-78.056,77.722,-338.007,-11.415,11.317,-39.082
141,7.05,-260.793,260.036,1262.351,-78.617,78.278,-339.962,-11.225,11.127,-39.096
142,7.1,-264.752,263.977,1279.349,-79.171,78.828,-341.916,-11.085,10.986,-39.088
143,7.15,-268.738,267.946,1296.445,-79.722,79.373,-343.869,-11.011,10.912,-39.05
144,7.2,-272.752,271.942,1313.638,-80.272,79.919,-345.818,-11.01,10.91,-38.979
145,7.25,-276.793,275.965,1330.929,-80.826,80.468,-347.761,-11.081,10.98,-38.874
146,7.3,-280.862,280.017,1348.317,-81.387,81.023,-349.698,-11.213,11.113,-38.726
147,7.35,-284.96,284.096,1365.802,-81.957,81.588,-351.626,-11.393,11.292,-38.56
148,7.4,-289.087,288.204,1383.383,-82.537,82.163,-353.545,-11.599,11.497,-38.393
149,7.45,-293.243,292.341,1401.06,-83.127,82.748,-355.456,-11.801,11.699,-38.226
150,7.5,-297.43,296.509,1418.833,-83.725,83.341,-357.36,-11.972,11.87,-38.07
151,7.55,-301.646,300.706,1436.701,-84.33,83.941,-359.256,-12.088,11.985,-37.929
152,7.6,-305.893,304.933,1454.664,-84.937,84.542,-361.148,-12.139,12.036,-37.833
153,7.65,-310.17,309.19,1472.721,-85.543,85.143,-363.037,-12.118,12.014,-37.777
154,7.7,-314.477,313.477,1490.873,-86.144,85.739,-364.925,-12.027,11.922,-37.756
155,7.75,-318.814,317.793,1509.119,-86.738,86.328,-366.813,-11.88,11.774,-37.764
